2020-04-12 10:07:40,519 [AUDIT] Token created by 'anonymous': tokenId='45509e2d-d623-4b2a-b268-317738e9bef8', issuer='jfrou@01e5pxqrpt9mar5tnv5nk3fzca', subject='jfrou@01e5pxqrpt9mar5tnv5nk3fzca', expiry=none, refreshable=false
2020-04-12 10:07:43,642 [AUDIT] Token created by 'anonymous': tokenId='ed4576dc-2612-479a-9a00-8bb8dca7e90c', issuer='jfac@01e5pxqny0js8918xvkxp40ec3', subject='jfac@01e5pxqny0js8918xvkxp40ec3', expiry=1586686183640, refreshable=false
2020-04-12 10:07:43,757 [AUDIT] Token created by 'anonymous': tokenId='12ea4ceb-7059-409f-ad29-5f3158cce179', issuer='jfac@01e5pxqny0js8918xvkxp40ec3', subject='jfac@01e5pxqny0js8918xvkxp40ec3', expiry=1586686183755, refreshable=false
2020-04-12 10:07:43,967 [AUDIT] Token created by 'anonymous': tokenId='dda85f80-191a-4c3d-ae85-e02b9f60cd8f', issuer='jfac@01e5pxqny0js8918xvkxp40ec3', subject='jfac@01e5pxqny0js8918xvkxp40ec3', expiry=1586686183965, refreshable=false
2020-04-12 10:07:44,375 [AUDIT] Token created by 'anonymous': tokenId='6ce0077a-e4e6-4c05-abab-082df0a8d19a', issuer='jfac@01e5pxqny0js8918xvkxp40ec3', subject='jfac@01e5pxqny0js8918xvkxp40ec3', expiry=1586686184371, refreshable=false
2020-04-12 10:07:44,702 [AUDIT] Token created by 'anonymous': tokenId='b2f8bac3-04c0-4aee-bca4-81aa8e0bd03e', issuer='jfmd@01e5pxqs4fax7jpfw7tj2rgydt', subject='jfmd@01e5pxqs4fax7jpfw7tj2rgydt', expiry=none, refreshable=false
2020-04-12 10:07:45,183 [AUDIT] Token created by 'anonymous': tokenId='4d63f3a5-786b-489e-92f7-8a96b701c573', issuer='jfac@01e5pxqny0js8918xvkxp40ec3', subject='jfac@01e5pxqny0js8918xvkxp40ec3', expiry=1586686185179, refreshable=false
2020-04-12 10:07:45,460 [AUDIT] Token created by 'anonymous': tokenId='39d60141-0800-4261-9b53-c80c0cd86a44', issuer='jfrt@01e5pxqvzkwc0t130mk2bw0mxb', subject='jfrt@01e5pxqvzkwc0t130mk2bw0mxb', expiry=none, refreshable=false
2020-04-12 10:07:49,754 [AUDIT] Token created by 'anonymous': tokenId='d66642bc-12bc-412a-91e1-8224109ed5fd', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2020-04-12 10:07:49,789 [AUDIT] Token created by 'jffe@000': tokenId='c881f722-818a-4b1f-a985-1292d3b74380', issuer='jffe@000', subject='jffe@000', expiry=1586686669787, refreshable=false
2020-04-12 10:09:46,595 [AUDIT] Token created by 'jfrt@01e5pxqvzkwc0t130mk2bw0mxb': tokenId='6defe7a4-0398-40da-9473-5f0bb88200ce', issuer='jfrt@01e5pxqvzkwc0t130mk2bw0mxb', subject='jfrt@01e5pxqvzkwc0t130mk2bw0mxb', expiry=2532766186592, refreshable=false
2020-04-12 10:12:01,237 [AUDIT] Token created by 'jffe@000': tokenId='a41c08fb-b31b-46ac-8cfe-6ca503d216c0', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1586686921234, refreshable=false
2020-04-12 10:12:01,238 [AUDIT] Token created by 'jffe@000': tokenId='3c3ca020-5416-45bf-8da2-fe56ad6c96a7', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1586686921235, refreshable=false
2020-04-12 10:12:01,238 [AUDIT] Token created by 'jffe@000': tokenId='7fbb2778-7b99-4876-947d-4eb00f44de66', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1586686921235, refreshable=false
2020-04-12 10:12:01,238 [AUDIT] Token created by 'jffe@000': tokenId='ea87ad57-90b4-4614-b0ae-e13cd92cd6a9', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1586686921236, refreshable=false
2020-04-12 10:13:33,302 [AUDIT] Token created by 'jfrt@01e5pxqvzkwc0t130mk2bw0mxb': tokenId='989bc815-3030-4ec3-ac01-5575bcb30622', issuer='jfrt@01e5pxqvzkwc0t130mk2bw0mxb', subject='jfrt@01e5pxqvzkwc0t130mk2bw0mxb/users/admin', expiry=1589105613301, refreshable=false
2020-04-12 10:13:33,330 [AUDIT] Token created by 'jffe@000': tokenId='b96e1c60-30be-4ca7-a50e-0751efbe1fca', issuer='jffe@000', subject='admin', expiry=1586688213329, refreshable=true
2020-04-12 10:13:33,382 [AUDIT] Token created by 'jffe@000': tokenId='c733c2e3-d872-4d21-a104-ca736928e672', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1586687013381, refreshable=false
2020-04-12 10:13:33,383 [AUDIT] Token created by 'jffe@000': tokenId='b46d66c6-c075-45bb-b453-3a4841b03301', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1586687013381, refreshable=false
2020-04-12 10:13:33,618 [AUDIT] Token created by 'jffe@000': tokenId='22339a11-38c4-437c-a195-84fabdc59b9d', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1586687013616, refreshable=false
2020-04-12 10:14:04,737 [AUDIT] Token created by 'jffe@000': tokenId='c8185f58-90e5-4045-b001-e810f3151859', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1586687044735, refreshable=false
2020-04-12 10:17:51,953 [AUDIT] Token created by 'jffe@000': tokenId='ab4b8d67-b148-4add-aebf-568f3f8369a4', issuer='jffe@000', subject='jffe@000', expiry=1586687271948, refreshable=false
2020-04-12 10:17:51,955 [AUDIT] Token created by 'jffe@000': tokenId='1ea981f6-ddbc-4e19-9c36-ed48deaaa27d', issuer='jffe@000', subject='jffe@000', expiry=1586687271951, refreshable=false
2020-04-12 10:17:51,956 [AUDIT] Token created by 'jffe@000': tokenId='97ce9cdd-85d5-4f1a-b278-fc493efc7e78', issuer='jffe@000', subject='jffe@000', expiry=1586687271951, refreshable=false
2020-04-12 10:17:51,956 [AUDIT] Token created by 'jffe@000': tokenId='b0b93b65-07aa-48fc-a6d0-782a78196007', issuer='jffe@000', subject='jffe@000', expiry=1586687271952, refreshable=false
2020-04-12 10:23:33,998 [AUDIT] Token created by 'jffe@000': tokenId='9290dfb6-6290-4c01-bbd9-f31bf3d53a6a', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1586687613995, refreshable=false
